cls_type_id,code,parent_code,name,color
7,01.011.0044.0299,01.011.0044.0225,"КАШИ,ХЛОПЬЯ,МЮСЛИ",CCCCCC
7,01.011.0044.0310,01.011.0044.0225,"КЛЕТЧАТКА, ОТРУБИ",CCCCCC
7,01.011.0044.0331,01.011.0044.0225,КОНДИТЕРСКИЕ ИЗДЕЛИЯ ЗОЖ,CCCCCC
7,01.011.0044.0332,01.011.0044.0225,КОНДИТЕРСКИЕ ИЗДЕЛИЯ ПРОЧИЕ,CCCCCC
7,01.011.0044.0367,01.011.0044.0225,КОСМЕТИКА ЭТНИЧЕСКАЯ,CCCCCC
7,01.011.0044.0383,01.011.0044.0225,"КРУПЫ, ЗЕРНА, СЕМЕНА",CCCCCC
7,01.011.0044.0428,01.011.0044.0225,"МАКАРОННЫЕ ИЗДЕЛИЯ, ВЕГЕТАРИАНСКИЕ СУПЫ",CCCCCC
7,01.011.0044.0442,01.011.0044.0225,МАСЛА,CCCCCC
7,01.011.0044.0485,01.011.0044.0225,МУКА ЗОЖ,CCCCCC
7,01.011.0044.0488,01.011.0044.0225,МУЧНЫЕ КОНДИТЕРСКИЕ ИЗДЕЛИЯ ЗОЖ,CCCCCC
7,01.011.0044.0518,01.011.0044.0225,НАПИТКИ,CCCCCC
7,01.011.0044.0553,01.011.0044.0225,ОХЛАЖДЕННАЯ ПРОДУКЦИЯ ДЛЯ ВЕГЕТАРИАНЦЕВ,CCCCCC
7,01.011.0044.0651,01.011.0044.0225,ПРОДУКТЫ ЭТНИЧЕСКОЙ КУХНИ,CCCCCC
7,01.011.0044.0767,01.011.0044.0225,"СНЭКИ, ХЛЕБЦЫ",CCCCCC
7,01.011.0044.0779,01.011.0044.0225,"СОЛЬ, ПРИПРАВЫ",CCCCCC
7,01.011.0044.0819,01.011.0044.0225,СУПЕРФУДЫ,CCCCCC
7,01.011.0044.0935,01.011.0044.0225,"ЧАЙ, ФИТОСБОРЫ",CCCCCC
7,01.011.0192.0817,01.011.0192,СТРОЙНАЯ ФИГУРА НАПИТКИ,CCCCCC
7,01.011.0192.0818,01.011.0192,СТРОЙНАЯ ФИГУРА ОСНОВНОЕ ПИТАНИЕ,CCCCCC
7,01.015.0069.0143,01.015.0069,ГРИБЫ КОНСЕРВИРОВАННЫЕ,CCCCCC
7,01.015.0070.0335,01.015.0070,КОНСЕРВИРОВАННЫЕ МОЛОЧНЫЕ ПРОДУКТЫ ДРУГИЕ,CCCCCC
7,01.015.0070.0464,01.015.0070,МОЛОКО КОНЦЕНТРИРОВАННОЕ,CCCCCC
7,01.015.0070.0466,01.015.0070,МОЛОКО СГУЩЕННОЕ,CCCCCC
7,01.015.0070.0467,01.015.0070,МОЛОКО СГУЩЕННОЕ ВАРЕННОЕ,CCCCCC
7,01.015.0070.0468,01.015.0070,"МОЛОКО СГУЩЕННОЕ С КОФЕ, КАКАО",CCCCCC
7,01.015.0070.0749,01.015.0070,СЛИВКИ СГУЩЕННЫЕ С ДОБАВЛЕНИЕМ САХАРА,CCCCCC
7,01.015.0071.0336,01.015.0071,КОНСЕРВИРОВАННЫЕ МЯСНЫЕ ПОЛУФАБРИКАТЫ,CCCCCC
7,01.015.0071.0337,01.015.0071,КОНСЕРВЫ ИЗ ПТИЦЫ,CCCCCC
7,01.015.0071.0340,01.015.0071,КОНСЕРВЫ МЯСНЫЕ,CCCCCC
7,01.015.0071.0341,01.015.0071,КОНСЕРВЫ МЯСНЫЕ ДРУГИЕ,CCCCCC
7,01.015.0071.0342,01.015.0071,КОНСЕРВЫ МЯСОРАСТИТЕЛЬНЫЕ,CCCCCC
7,01.015.0071.0568,01.015.0071,ПАШТЕТЫ ИЗ МЯСА И ПТИЦЫ,CCCCCC
7,01.015.0071.0818,01.015.0071,СУБПРОДУКТЫ КОНСЕРВИРОВАННЫЕ,CCCCCC
7,01.015.0072.0027,01.015.0072,АССОРТИ ОВОЩНОЕ,CCCCCC
7,01.015.0072.0138,01.015.0072,ГОРОШЕК ЗЕЛЕНЫЙ  КОНСЕРВИРОВАННЫЙ,CCCCCC
7,01.015.0072.0231,01.015.0072,"ЗАКУСКИ, САЛАТЫ, ГОТОВЫЕ БЛЮДА КОНСЕРВИРОВАННЫЕ",CCCCCC
7,01.015.0072.0261,01.015.0072,ИКРА ОВОЩНАЯ,CCCCCC
7,01.015.0072.0394,01.015.0072,КУКУРУЗА КОНСЕРВИРОВАННАЯ,CCCCCC
7,01.015.0072.0538,01.015.0072,ОГУРЦЫ КОНСЕРВИРОВАННЫЕ,CCCCCC
7,01.015.0072.0539,01.015.0072,"ОЛИВКИ, МАСЛИНЫ КОНСЕРВИРОВАННЫЕ",CCCCCC
7,01.015.0072.0577,01.015.0072,ПЕРЕЦ КОНСЕРВИРОВАННЫЙ,CCCCCC
7,01.015.0072.0655,01.015.0072,ПРОЧИЕ ПЛОДЫ И ОВОЩИ КОНСЕРВИРОВАННЫЕ,CCCCCC
7,01.015.0072.0867,01.015.0072,ТОМАТЫ КОНСЕРВИРОВАННЫЕ,CCCCCC
7,01.015.0072.0898,01.015.0072,ФАСОЛЬ КОНСЕРВИРОВАННАЯ,CCCCCC
7,01.015.0073.0338,01.015.0073,КОНСЕРВЫ ИЗ РЫБЫ,CCCCCC
7,01.015.0073.0339,01.015.0073,КОНСЕРВЫ ИЗ РЫБЫ ДРУГИЕ,CCCCCC
7,01.015.0073.0475,01.015.0073,МОРЕПРОДУКТЫ КОНСЕРВИРОВАННЫЕ,CCCCCC
7,01.015.0073.0570,01.015.0073,ПАШТЕТЫ ИЗ РЫБЫ КОНСЕРВИРОВАННЫЕ,CCCCCC
7,01.015.0074.0157,01.015.0074,"ДЕСЕРТЫ, СИРОПЫ, КОНДИТЕРСКИЕ СЛИВКИ",CCCCCC
7,01.015.0074.0162,01.015.0074,"ДЖЕМЫ, ПОВИДЛО, ВАРЕНЬЕ, КОНФИТЮРЫ",CCCCCC
7,01.015.0075.0334,01.015.0075,КОНСЕРВАЦИЯ КОМПОТЫ,CCCCCC
7,01.015.0075.0343,01.015.0075,КОНСЕРВЫ ФРУКТОВЫЕ,CCCCCC
7,01.015.0096.0455,01.015.0096,МЁД ВЕСОВОЙ,CCCCCC
7,01.015.0096.0457,01.015.0096,МЁД УПАКОВАННЫЙ,CCCCCC
7,01.016.0027.0064,01.016.0027,"ВЕСОВЫЕ ВОСТОЧНЫЕ СЛАДОСТИ ЛУКУМЫ, ЩЕРБЕТЫ",CCCCCC
7,01.016.0027.0065,01.016.0027,ВЕСОВЫЕ ВОСТОЧНЫЕ СЛАДОСТИ МУЧНЫЕ,CCCCCC
7,01.016.0027.0114,01.016.0027,ВОСТОЧНЫЕ СЛАДОСТИ ЛУКУМЫ,CCCCCC
7,01.016.0077.0066,01.016.0077,ВЕСОВЫЕ КОНФЕТЫ,CCCCCC
7,01.016.0077.0274,01.016.0077,ИРИС,CCCCCC
7,01.016.0077.0287,01.016.0077,КАРАМЕЛЬ,CCCCCC
7,01.016.0077.0350,01.016.0077,КОНФЕТЫ В ПАКЕТАХ,CCCCCC
7,01.016.0077.0346,01.016.0077,КОНФЕТЫ ВЕСОВЫЕ ПО ОДНОЙ ЦЕНЕ,CCCCCC
7,01.016.0077.0347,01.016.0077,КОНФЕТЫ ВЕСОВЫЕ ПО ОДНОЙ ЦЕНЕ КАТЕГОРИЯ 2,CCCCCC
