name,code,parent_code,cls_type_id
ОГУРЦЫ КОНСЕРВИРОВАННЫЕ,01.015.0072.0538,01.015.0072,7
"ОЛИВКИ, МАСЛИНЫ КОНСЕРВИРОВАННЫЕ",01.015.0072.0539,01.015.0072,7
ПЕРЕЦ КОНСЕРВИРОВАННЫЙ,01.015.0072.0577,01.015.0072,7
ПРОЧИЕ ПЛОДЫ И ОВОЩИ КОНСЕРВИРОВАННЫЕ,01.015.0072.0655,01.015.0072,7
ТОМАТЫ КОНСЕРВИРОВАННЫЕ,01.015.0072.0867,01.015.0072,7
ФАСОЛЬ КОНСЕРВИРОВАННАЯ,01.015.0072.0898,01.015.0072,7
КОНСЕРВАЦИЯ РЫБНАЯ,01.015.0073,01.015,7
КОНСЕРВЫ ИЗ РЫБЫ,01.015.0073.0338,01.015.0073,7
КОНСЕРВЫ ИЗ РЫБЫ ДРУГИЕ,01.015.0073.0339,01.015.0073,7
МОРЕПРОДУКТЫ КОНСЕРВИРОВАННЫЕ,01.015.0073.0475,01.015.0073,7
ПАШТЕТЫ ИЗ РЫБЫ КОНСЕРВИРОВАННЫЕ,01.015.0073.0570,01.015.0073,7
КОНСЕРВАЦИЯ СЛАДКАЯ,01.015.0074,01.015,7
"ДЕСЕРТЫ, СИРОПЫ, КОНДИТЕРСКИЕ СЛИВКИ",01.015.0074.0157,01.015.0074,7
"ДЖЕМЫ, ПОВИДЛО, ВАРЕНЬЕ, КОНФИТЮРЫ",01.015.0074.0162,01.015.0074,7
КОНСЕРВАЦИЯ ФРУКТОВАЯ,01.015.0075,01.015,7
КОНСЕРВАЦИЯ КОМПОТЫ,01.015.0075.0334,01.015.0075,7
КОНСЕРВЫ ФРУКТОВЫЕ,01.015.0075.0343,01.015.0075,7
МЁД,01.015.0096,01.015,7
МЁД ВЕСОВОЙ,01.015.0096.0455,01.015.0096,7
МЁД УПАКОВАННЫЙ,01.015.0096.0457,01.015.0096,7
"КОНФЕТЫ, СЛАДОСТИ",01.016,01,7
ВОСТОЧНЫЕ СЛАДОСТИ,01.016.0027,01.016,7
"ВЕСОВЫЕ ВОСТОЧНЫЕ СЛАДОСТИ ЛУКУМЫ, ЩЕРБЕТЫ",01.016.0027.0064,01.016.0027,7
ВЕСОВЫЕ ВОСТОЧНЫЕ СЛАДОСТИ МУЧНЫЕ,01.016.0027.0065,01.016.0027,7
ВОСТОЧНЫЕ СЛАДОСТИ ЛУКУМЫ,01.016.0027.0114,01.016.0027,7
КОНФЕТЫ,01.016.0077,01.016,7
ВЕСОВЫЕ КОНФЕТЫ,01.016.0077.0066,01.016.0077,7
ИРИС,01.016.0077.0274,01.016.0077,7
КАРАМЕЛЬ,01.016.0077.0287,01.016.0077,7
КОНФЕТЫ В ПАКЕТАХ,01.016.0077.0350,01.016.0077,7
КОНФЕТЫ ВЕСОВЫЕ ПО ОДНОЙ ЦЕНЕ,01.016.0077.0346,01.016.0077,7
